eps_country,matched_owid_country,match_score
France,France,100
Czechia,Czechia,100
Japan,Japan,100
Spain,Spain,100
Estonia,Estonia,100
Sweden,Sweden,100
New Zealand,New Zealand,100
Netherlands,Netherlands,100
Ireland,Ireland,100
Denmark,Denmark,100
Finland,Finland,100
Luxembourg,Luxembourg,100
Switzerland,Switzerland,100
Australia,Australia,100
Belgium,Belgium,100
Norway,Norway,100
United States,United States,100
Hungary,Hungary,100
Greece,Greece,100
Slovak Republic,Slovakia,86
Poland,Poland,100
United Kingdom,United Kingdom,100
Korea,South Korea,90
TÃ¼rkiye,Turkey,67
Italy,Italy,100
Austria,Austria,100
Portugal,Portugal,100
Germany,Germany,100
Canada,Canada,100
Slovenia,Slovenia,100
China (People's Republic of),China,90
Indonesia,Indonesia,100
Brazil,Brazil,100
Russia,Russia,100
South Africa,South Africa,100
India,India,100
Mexico,Mexico,100
Iceland,Iceland,100
Chile,Chile,100
Israel,Israel,100
