ISO,Country,Data source,Sector,Gas,Unit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,World,Climate Watch,Total including LUCF,All GHG,MtCO₂e,50122.98,49656.95,47566.6,49867.66,49493.66,48411.38,47725.11,47126.46,47197.49,46554.23,45933.95,45457.38,45287.07,43472.48,43553.5,43315.35,42543.2,41089.4,40156.43,38351.96,37368.3,36413.05,36330.44,35641.67,35644.87,36105.39,34738.96,34342.37,33543.05,33266.46,33115.4,33203.66,33027.0
CHN,China,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12715.91,12707.32,12107.8,11973.63,11750.49,11266.25,11048.37,11012.14,11138.19,11078.92,10610.96,10333.59,9853.11,9032.16,8468.56,8220.92,7631.36,6967.42,6203.69,5457.0,4796.33,4504.12,4303.74,4134.06,4202.18,4085.27,4089.2,4067.55,3668.88,3511.39,3282.21,3153.23,3004.93
USA,United States,Climate Watch,Total including LUCF,All GHG,MtCO₂e,5604.33,5519.98,5229.09,5764.16,5887.04,5675.03,5724.27,5653.7,5764.49,5717.31,5574.47,5792.23,6009.52,5738.8,6156.58,6344.05,6240.78,6331.66,6312.12,6229.43,6165.13,6318.57,6356.36,6194.58,6195.55,6148.63,5889.13,5718.86,5650.27,5558.05,5448.56,5366.13,5416.53
IND,India,Climate Watch,Total including LUCF,All GHG,MtCO₂e,3737.4,3517.19,3259.8,3440.96,3438.38,3298.32,3176.21,3109.67,3066.88,2881.02,2819.84,2666.56,2619.24,2501.88,2387.54,2272.34,2125.43,2026.54,1954.83,1864.63,1820.12,1800.4,1553.12,1513.92,1435.64,1405.66,1345.12,1296.28,1229.61,1184.08,1151.27,1127.84,1073.97
EUU,European Union (27),Climate Watch,Total including LUCF,All GHG,MtCO₂e,3060.91,3141.35,2975.82,3252.01,3398.62,3479.95,3464.33,3119.82,3063.54,3210.43,3292.45,3353.79,3722.84,3644.1,3913.02,4007.44,4044.0,4043.84,4069.25,4069.4,3980.54,3993.73,3985.63,3983.63,4059.48,4101.87,4178.39,4067.46,4015.96,4028.94,4105.22,4248.35,4319.88
RUS,Russia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1821.21,1872.58,1695.74,1785.97,1771.73,1693.44,1665.63,1540.06,1561.73,1565.27,1610.47,1627.01,1455.96,1374.18,1502.3,1500.47,1490.99,1453.77,1430.78,1435.92,1362.36,1356.54,1743.99,1689.38,1662.14,1659.14,1806.18,1848.54,1923.01,2153.42,2339.8,2496.95,2559.97
BRA,Brazil,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1537.74,1539.96,1478.0,1474.99,1453.09,1495.07,1470.17,1387.86,1401.52,1361.69,1340.56,1295.81,2136.0,2028.17,2056.25,2057.23,2018.16,2030.43,2014.54,1966.63,1952.78,1914.45,1821.61,1818.95,1807.36,1771.17,1739.31,1736.42,1709.98,1693.26,1682.54,1672.66,1651.71
IDN,Indonesia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1530.41,1436.75,1435.34,1867.07,1597.62,1349.75,1347.43,1979.37,1935.69,1565.48,1622.4,1603.03,1052.15,1410.08,1013.92,1030.66,1590.02,1170.73,1446.28,1100.53,1436.32,952.49,1124.66,1194.51,1303.93,2073.23,1103.47,1252.02,1216.74,1195.56,1180.03,1160.34,1138.91
JPN,Japan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1043.7,1074.45,1058.63,1119.7,1160.6,1203.99,1220.91,1214.87,1251.68,1298.2,1282.27,1238.61,1131.82,1074.46,1131.71,1201.07,1166.21,1186.69,1179.88,1189.91,1182.87,1152.62,1196.24,1181.35,1151.6,1198.11,1210.89,1195.62,1180.51,1123.17,1129.83,1116.61,1101.57
IRN,Iran,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1003.54,992.44,923.88,904.67,870.79,877.88,847.34,811.14,813.51,789.84,767.88,769.42,714.89,711.05,690.25,683.65,652.24,611.9,572.67,537.47,501.69,489.38,499.27,471.38,436.9,435.16,417.9,402.58,393.05,361.96,354.32,332.35,305.08
SAU,Saudi Arabia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,775.38,730.5,708.75,706.87,702.43,714.89,720.25,713.63,680.51,637.13,620.93,585.17,554.44,510.19,496.72,457.59,437.48,415.03,395.46,378.55,358.38,340.7,336.82,320.94,316.33,300.33,294.29,278.84,279.97,280.97,283.79,266.62,234.52
CAN,Canada,Climate Watch,Total including LUCF,All GHG,MtCO₂e,749.9,736.54,725.88,780.76,788.58,769.41,751.93,855.49,858.25,850.53,838.82,838.99,989.31,971.33,1005.24,1028.03,996.0,1006.43,992.18,1002.21,979.75,958.51,732.94,715.71,716.81,700.46,688.69,667.58,652.02,634.32,638.56,624.64,628.84
COD,Democratic Republic of the Congo,Climate Watch,Total including LUCF,All GHG,MtCO₂e,700.17,701.41,700.38,697.86,692.6,700.08,695.38,694.95,691.48,691.91,688.35,695.97,459.93,455.8,455.71,449.82,457.62,455.59,455.59,451.47,443.61,428.83,431.69,435.35,443.03,440.91,434.08,443.15,442.93,441.42,439.95,439.66,440.88
DEU,Germany,Climate Watch,Total including LUCF,All GHG,MtCO₂e,695.85,705.52,683.1,738.79,789.7,818.23,835.61,832.88,828.21,868.82,853.7,840.55,880.96,850.67,907.2,904.4,932.81,924.08,946.03,962.78,961.8,978.03,926.36,934.0,972.05,994.68,1031.77,1001.96,1005.66,1014.74,1023.36,1069.03,1095.57
MEX,Mexico,Climate Watch,Total including LUCF,All GHG,MtCO₂e,636.97,634.79,623.23,682.7,665.19,693.62,695.41,687.53,671.49,678.46,691.56,686.21,582.25,565.48,576.41,572.58,561.06,541.56,517.49,510.35,483.48,473.2,565.93,539.14,555.52,522.29,498.22,479.09,499.63,472.8,455.37,452.41,433.22
KOR,South Korea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,626.65,646.94,625.27,668.05,690.9,670.32,649.5,640.13,627.1,640.76,640.96,642.09,602.44,542.04,532.62,520.18,505.42,498.59,503.17,482.64,470.15,456.53,460.84,420.37,380.69,445.36,420.91,391.68,362.17,335.68,304.39,279.51,250.5
AUS,Australia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,574.43,578.11,581.54,628.92,642.56,644.29,599.0,591.51,594.4,577.35,661.04,658.48,618.56,637.61,619.46,648.99,647.54,601.16,637.85,587.02,663.11,666.85,659.76,640.78,600.6,574.95,563.45,561.96,555.43,548.59,545.86,545.82,544.75
ZAF,South Africa,Climate Watch,Total including LUCF,All GHG,MtCO₂e,529.95,546.68,552.05,573.98,568.23,562.97,549.73,551.7,576.93,564.38,552.2,530.74,547.51,523.84,545.67,512.83,491.32,488.61,488.13,459.62,435.53,420.27,387.51,388.12,409.01,400.61,384.31,373.07,359.77,352.58,341.54,344.96,348.66
PAK,Pakistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,505.37,495.84,480.9,447.33,443.82,448.26,423.32,398.9,384.89,371.73,359.5,354.87,346.93,352.84,340.19,338.37,320.81,300.99,291.7,274.03,264.53,257.75,254.79,252.05,238.77,234.97,228.01,220.61,209.35,202.38,192.66,182.79,178.62
TUR,Turkey,Climate Watch,Total including LUCF,All GHG,MtCO₂e,496.76,513.92,475.93,462.83,474.88,474.47,432.16,374.19,366.06,340.71,349.85,334.29,328.18,317.97,314.46,317.3,287.68,258.46,246.0,239.99,228.49,218.2,266.14,242.2,242.32,241.1,232.11,214.4,199.9,204.73,198.44,190.95,188.5
THA,Thailand,Climate Watch,Total including LUCF,All GHG,MtCO₂e,466.03,449.76,455.25,453.88,437.24,437.52,426.34,401.06,398.66,400.59,391.47,367.06,334.71,312.2,315.48,314.3,296.79,293.38,285.81,262.87,252.38,238.9,273.02,272.59,261.13,280.21,270.43,249.79,231.46,216.2,198.4,185.86,174.35
VNM,Vietnam,Climate Watch,Total including LUCF,All GHG,MtCO₂e,454.06,453.72,463.71,450.86,395.47,337.13,329.3,298.89,281.82,268.07,253.18,252.03,288.54,270.01,246.82,237.72,223.27,219.35,209.59,188.58,182.58,166.42,71.77,63.92,59.71,47.85,39.92,31.94,24.03,19.56,13.82,11.03,6.87
ARG,Argentina,Climate Watch,Total including LUCF,All GHG,MtCO₂e,429.28,407.73,390.84,404.78,408.15,409.61,405.01,437.66,431.76,433.98,424.43,419.29,438.38,432.87,453.65,449.1,436.44,422.2,418.71,402.88,380.83,383.65,341.8,343.37,336.33,331.14,325.81,314.05,311.1,307.69,306.85,301.91,297.62
GBR,United Kingdom,Climate Watch,Total including LUCF,All GHG,MtCO₂e,413.58,426.28,408.96,451.93,467.36,476.0,488.58,511.15,526.75,567.08,583.8,563.92,606.64,593.53,649.53,670.48,685.77,689.36,695.47,700.79,692.07,710.3,700.2,698.39,722.33,724.64,744.94,723.66,731.46,733.77,752.2,769.97,761.27
MYS,Malaysia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,386.55,372.74,370.63,380.79,375.22,352.59,368.42,181.48,197.1,164.23,142.23,141.88,365.91,353.24,358.56,347.35,323.11,327.25,312.07,286.7,277.55,260.79,269.52,257.97,280.63,251.39,239.74,229.21,221.56,213.23,206.62,203.88,192.55
ITA,Italy,Climate Watch,Total including LUCF,All GHG,MtCO₂e,370.37,369.88,337.1,375.0,384.07,389.1,394.45,377.11,365.52,385.0,416.87,435.02,445.46,437.01,485.8,500.84,507.59,519.41,518.18,506.51,487.83,478.52,480.08,474.28,466.71,455.43,451.52,455.01,429.78,434.71,440.72,443.74,446.38
NGA,Nigeria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,356.48,363.64,356.78,362.99,351.51,342.36,344.88,341.22,346.24,335.7,324.62,321.91,313.88,285.65,297.94,294.48,305.96,319.17,315.37,312.37,290.27,311.51,315.65,302.1,316.12,335.3,343.54,313.06,308.75,314.1,317.36,301.27,284.35
POL,Poland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,348.05,363.65,338.45,355.65,373.97,376.58,364.48,359.89,356.57,370.81,376.96,383.07,342.74,323.64,341.09,348.66,350.27,336.26,335.59,332.28,321.08,327.94,388.54,405.19,417.4,452.59,461.87,448.79,447.42,452.51,453.16,464.3,468.94
EGY,Egypt,Climate Watch,Total including LUCF,All GHG,MtCO₂e,336.04,336.58,316.35,307.42,331.43,338.24,327.44,317.91,307.94,301.59,299.63,291.24,283.79,282.56,274.34,267.42,251.48,240.35,221.68,209.5,203.72,197.99,185.68,186.22,177.44,171.79,163.01,155.5,146.14,149.3,142.75,140.19,135.19
FRA,France,Climate Watch,Total including LUCF,All GHG,MtCO₂e,329.77,342.03,313.28,351.21,360.56,374.52,370.84,371.78,366.23,399.75,398.44,395.2,406.33,402.46,420.3,426.34,433.02,442.83,441.55,443.4,438.26,445.21,481.46,483.08,492.27,476.26,485.58,465.9,457.25,462.97,481.94,496.5,471.51
KAZ,Kazakhstan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,328.43,327.97,308.02,306.44,316.7,314.39,292.18,273.87,305.67,345.8,332.65,336.56,322.68,302.24,327.89,289.72,278.06,256.04,241.62,223.18,209.62,181.44,182.48,177.97,195.0,195.17,217.85,243.77,278.18,301.76,341.18,341.03,333.69
IRQ,Iraq,Climate Watch,Total including LUCF,All GHG,MtCO₂e,304.89,278.61,261.1,278.05,260.11,245.87,231.45,207.55,202.15,204.27,191.92,168.94,159.64,143.95,134.47,119.08,124.0,124.66,128.2,113.48,132.86,142.74,132.4,115.85,130.12,148.07,120.39,122.08,124.08,109.33,83.22,59.04,98.86
DZA,Algeria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,293.04,279.62,272.63,286.03,278.51,269.9,264.74,265.18,256.06,244.24,238.93,220.48,213.54,208.79,207.18,202.5,199.1,192.41,185.47,181.42,166.96,160.23,165.96,156.03,152.2,150.34,151.49,147.25,140.98,138.81,130.41,129.52,125.94
COL,Colombia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,278.93,282.02,271.72,277.42,275.72,267.28,271.8,241.49,242.75,239.35,229.42,231.07,249.48,244.97,241.29,240.2,233.6,233.54,232.1,229.65,226.82,229.4,239.35,234.91,246.46,244.37,237.75,237.42,232.69,229.98,224.99,221.61,220.38
ESP,Spain,Climate Watch,Total including LUCF,All GHG,MtCO₂e,275.3,273.62,256.83,295.86,313.29,319.79,303.15,318.71,308.15,309.42,335.85,342.22,331.25,346.14,382.2,415.53,399.31,405.28,390.62,374.56,365.51,348.82,327.1,309.78,285.18,275.74,254.28,260.91,247.2,234.28,249.06,239.24,232.96
VEN,Venezuela,Climate Watch,Total including LUCF,All GHG,MtCO₂e,264.4,238.57,237.04,316.81,372.52,423.67,462.94,560.64,584.75,591.26,589.09,559.56,542.42,539.59,554.3,536.97,541.91,544.16,520.9,492.25,510.45,532.88,583.79,564.93,591.67,592.68,570.56,537.26,506.91,499.54,490.95,488.73,469.0
BGD,Bangladesh,Climate Watch,Total including LUCF,All GHG,MtCO₂e,254.64,250.59,235.1,238.37,233.85,229.74,220.31,212.88,205.15,200.4,195.84,191.21,185.23,177.92,173.48,165.2,162.24,156.34,151.43,149.75,147.7,144.2,137.92,136.21,131.62,130.98,128.07,126.44,120.83,117.64,116.28,114.19,113.98
ARE,United Arab Emirates,Climate Watch,Total including LUCF,All GHG,MtCO₂e,253.02,252.05,248.73,251.83,238.78,254.61,263.55,256.28,244.39,241.57,229.32,218.83,210.98,203.37,204.29,178.16,167.61,159.87,150.29,142.05,133.2,131.68,118.01,117.11,116.39,114.23,111.09,106.57,101.78,92.95,88.82,90.38,81.73
PHL,Philippines,Climate Watch,Total including LUCF,All GHG,MtCO₂e,246.56,239.42,229.02,238.59,231.06,224.66,207.47,196.25,187.35,179.95,168.98,164.13,162.5,156.6,153.64,150.29,144.08,150.39,149.28,146.15,143.41,141.99,142.87,141.85,136.47,142.84,134.99,126.67,114.94,108.08,102.82,100.74,100.96
TKM,Turkmenistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,215.05,206.61,192.51,227.5,198.83,195.12,191.65,197.89,189.54,192.51,184.68,176.64,146.78,132.0,172.71,166.27,153.11,153.08,148.72,141.52,125.97,117.23,114.52,90.89,72.59,70.18,84.37,86.65,85.95,105.73,96.73,138.58,146.72
MMR,Myanmar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,209.17,218.66,226.11,216.71,216.34,238.57,224.87,232.19,225.98,218.29,215.9,206.79,237.39,232.0,221.06,236.01,224.76,220.8,230.79,216.3,202.17,202.37,223.16,226.19,221.09,214.67,216.9,221.14,217.99,215.19,212.52,209.69,210.34
ETH,Ethiopia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,209.07,208.18,213.61,205.66,194.02,190.61,187.72,181.11,177.44,171.09,166.45,160.5,159.96,154.64,150.47,146.68,135.83,130.55,126.69,124.11,125.39,116.94,109.44,112.87,111.78,105.79,101.53,98.42,97.33,95.89,101.55,100.4,99.69
PER,Peru,Climate Watch,Total including LUCF,All GHG,MtCO₂e,199.36,194.57,181.47,191.92,188.72,188.39,191.03,187.62,186.18,182.18,180.2,180.35,152.3,147.62,143.48,138.52,134.55,135.25,133.56,129.62,129.65,127.75,124.62,123.98,119.86,118.69,117.77,114.1,109.21,106.89,105.81,105.19,106.41
UZB,Uzbekistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,186.78,194.52,181.19,174.61,170.47,172.92,167.24,158.65,164.1,172.18,173.33,188.2,176.77,165.59,178.53,169.5,173.68,162.82,168.74,165.0,172.88,166.44,174.58,167.42,167.29,150.42,150.01,147.96,157.75,162.04,159.37,170.6,169.26
TZA,Tanzania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,175.73,175.78,171.41,169.45,163.94,165.13,165.95,152.36,144.71,144.27,143.23,138.74,136.43,132.58,130.61,127.47,125.36,131.16,123.84,124.79,115.81,109.14,103.57,105.85,105.47,101.0,101.26,108.51,104.23,102.41,101.53,101.33,100.97
UKR,Ukraine,Climate Watch,Total including LUCF,All GHG,MtCO₂e,168.66,233.56,240.01,247.07,258.96,245.99,279.22,263.37,326.32,369.8,372.95,380.82,347.05,328.51,385.84,396.45,383.22,374.63,385.99,412.44,388.24,383.08,358.29,369.03,374.39,401.7,424.81,494.65,521.76,620.36,709.87,799.89,852.48
NLD,Netherlands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,152.97,165.85,162.43,178.96,184.51,190.39,194.31,193.54,184.84,192.27,193.48,195.21,208.09,197.47,202.47,205.18,205.78,210.48,216.15,214.47,214.61,214.94,214.17,216.19,228.31,228.12,236.22,225.44,222.6,222.42,218.07,218.68,213.73
KWT,Kuwait,Climate Watch,Total including LUCF,All GHG,MtCO₂e,149.05,143.17,135.42,139.66,140.36,136.14,137.23,131.07,126.96,127.47,123.52,119.55,111.79,109.07,109.55,102.5,104.54,100.69,91.34,85.78,79.73,77.96,75.18,67.6,65.13,60.52,57.79,57.9,58.21,50.18,34.35,10.88,41.22
BOL,Bolivia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,135.79,136.95,131.63,139.33,126.57,126.16,128.05,117.22,113.58,113.41,113.83,113.51,129.0,102.45,104.44,111.0,104.81,103.06,109.13,93.67,97.63,90.89,110.61,120.44,114.77,114.83,112.37,113.16,114.72,115.64,116.92,116.13,114.97
AGO,Angola,Climate Watch,Total including LUCF,All GHG,MtCO₂e,133.68,135.5,133.31,146.59,137.9,154.7,154.61,158.77,152.46,152.6,150.91,150.41,151.19,145.56,142.89,137.08,129.83,132.66,129.94,125.44,118.8,115.98,89.24,95.35,97.53,87.86,88.52,86.1,81.97,79.08,76.48,75.29,74.65
CMR,Cameroon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,130.65,130.03,130.92,129.51,128.49,127.72,128.06,126.96,124.96,123.53,121.68,121.35,129.56,129.24,129.52,129.16,129.15,132.31,129.78,132.76,129.58,129.24,143.69,142.09,143.23,139.18,138.25,136.54,136.87,83.91,86.58,87.0,78.42
SDN,Sudan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,128.12,130.31,128.85,129.58,129.31,128.75,128.95,126.22,122.83,121.94,121.13,119.32,116.87,118.84,117.24,117.05,111.64,112.4,107.32,103.99,101.79,96.55,108.04,107.58,103.29,96.46,88.73,83.32,82.16,77.32,75.36,71.69,70.81
QAT,Qatar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,122.25,116.97,114.85,116.9,114.94,116.03,114.28,112.43,109.02,102.81,102.1,94.19,83.76,74.02,72.26,66.95,59.28,52.83,51.21,47.56,43.65,39.78,40.16,39.25,35.91,34.45,27.41,24.71,23.87,21.41,18.68,19.3,16.28
TCD,Chad,Climate Watch,Total including LUCF,All GHG,MtCO₂e,119.37,115.13,111.71,106.45,103.8,99.29,97.85,95.44,90.05,87.51,85.81,81.61,69.98,65.68,65.26,64.79,62.04,60.14,58.19,54.44,55.2,51.02,46.76,46.67,44.84,40.23,38.56,34.62,33.6,32.59,31.64,30.75,24.33
ZWE,Zimbabwe,Climate Watch,Total including LUCF,All GHG,MtCO₂e,116.95,115.04,113.31,116.08,117.21,115.48,115.77,42.26,40.42,42.29,42.77,46.41,39.77,36.85,36.13,37.97,37.39,38.45,37.79,37.59,39.94,43.21,41.56,47.83,45.44,44.08,44.92,42.87,43.01,43.23,46.73,45.85,45.51
MOZ,Mozambique,Climate Watch,Total including LUCF,All GHG,MtCO₂e,114.7,110.19,107.66,110.75,116.6,112.54,113.36,102.59,104.63,104.58,102.6,96.71,105.76,96.13,101.36,97.84,99.14,100.29,96.02,95.8,90.17,93.7,72.28,74.04,75.12,71.46,73.66,89.38,89.09,88.74,88.0,87.31,87.25
CZE,Czech Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,106.4,108.03,102.98,112.12,117.42,118.68,118.62,119.05,117.16,119.86,125.1,128.57,127.89,126.62,132.56,138.0,136.19,135.14,136.65,136.37,133.1,138.66,136.38,124.42,132.93,139.9,142.91,138.89,140.11,146.91,154.29,158.86,175.65
